Year,System,School,Grade,Gender,Ethnicity,Sub Population,Total Student Count,Asian,Asian %,Black or African American,Black or African American %,American Indian / Alaska Native, American Indian / Alaska Native %,Native Hawaiian / Pacific Islander,Native Hawaiian / Pacific Islander %,White,White %,Two or more races,Two or more races %
2017,Marion County,Brilliant Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,147,*,*,*,*,*,*,*,*,*,*,*,*
2017,Mountain Brook City,Brookwood Forest Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,502,*,*,*,*,*,*,*,*,487,~,13,~
2017,Scottsboro City,Brownwood Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,290,*,*,23,7.93,26,8.97,*,*,221,76.21,17,5.86
2017,Selma City,Byrd First Class Early Learning Center,All Grades,All Gender,All Ethnicity,All SubPopulation,236,*,*,*,*,*,*,*,*,*,*,*,*
2017,Talladega City,C L Salter Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,261,*,*,202,77.39,26,9.96,*,*,32,12.26,*,*
2017,Shelby County,Calera High,All Grades,All Gender,All Ethnicity,All SubPopulation,808,*,*,327,40.47,29,~,*,*,434,53.71,13,~
2017,Walker County,Carbon Hill Elementary-Junior High School,All Grades,All Gender,All Ethnicity,All SubPopulation,624,*,*,27,~,*,*,*,*,597,~,*,*
2017,Etowah County,Carlisle Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,371,*,*,*,*,11,~,*,*,352,94.88,*,*
2017,Ozark City,Carroll High School,All Grades,All Gender,All Ethnicity,All SubPopulation,665,*,*,314,47.22,*,*,*,*,335,50.38,11,~
2017,Dothan City,Carver Magnet School,All Grades,All Gender,All Ethnicity,All SubPopulation,443,14,~,141,31.83,*,*,*,*,283,63.88,*,*
2017,Troy City,Charles Henderson High School,All Grades,All Gender,All Ethnicity,All SubPopulation,606,14,~,368,60.73,*,*,*,*,218,35.97,*,*
2017,Washington County,Chatom Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,289,*,*,58,20.07,13,~,*,*,213,73.70,*,*
2017,Chickasaw City,Chickasaw City Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,558,*,*,379,67.92,11,~,*,*,166,29.75,*,*
2017,Chilton County,Chilton County High School,All Grades,All Gender,All Ethnicity,All SubPopulation,821,*,*,132,16.08,13,~,*,*,638,77.71,30,~
2017,Clarke County,Clarke County High School,All Grades,All Gender,All Ethnicity,All SubPopulation,386,*,*,261,67.62,*,*,*,*,120,31.09,*,*
2017,Cleburne County,Cleburne County Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,364,*,*,49,13.46,*,*,*,*,298,81.87,14,~
2017,Conecuh County,Conecuh County Junior High School,All Grades,All Gender,All Ethnicity,All SubPopulation,212,*,*,113,53.30,*,*,*,*,92,43.40,*,*
2017,Morgan County,Cotaco School,All Grades,All Gender,All Ethnicity,All SubPopulation,500,*,*,17,~,*,*,*,*,459,91.80,12,~
2017,Alabaster City,Creek View Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,894,12,~,188,21.03,91,10.18,*,*,524,58.61,79,8.84
2017,Hartselle City,Crestline Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,447,*,*,13,~,*,*,*,*,412,92.17,18,~
2017,Cullman City,Cullman Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,491,*,*,*,*,*,*,*,*,464,94.50,*,*
2017,Daleville City,Daleville High School,All Grades,All Gender,All Ethnicity,All SubPopulation,478,*,*,180,37.66,13,~,*,*,271,56.69,*,*
2017,Demopolis City,Demopolis Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,477,*,*,229,48.01,11,~,*,*,225,47.17,*,*
2017,Tuscumbia City,Deshler High School,All Grades,All Gender,All Ethnicity,All SubPopulation,461,*,*,132,28.63,*,*,*,*,327,70.93,*,*
2017,Fairfield City,Donald Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,367,*,*,355,~,*,*,*,*,12,~,*,*
2017,Vestavia Hills City,East Elementary,All Grades,All Gender,All Ethnicity,All SubPopulation,850,26,~,56,6.59,11,~,*,*,735,86.47,22,~
2017,Homewood City,Edgewood Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,826,*,*,68,8.23,*,*,*,*,698,84.50,47,5.69
2017,Elba City,Elba Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,322,*,*,149,46.27,*,*,*,*,151,46.89,13,~
2017,Elmore County,Elmore County High School,All Grades,All Gender,All Ethnicity,All SubPopulation,488,*,*,58,11.89,*,*,*,*,420,86.07,*,*
2017,Eufaula City,Eufaula High School,All Grades,All Gender,All Ethnicity,All SubPopulation,976,*,*,469,48.05,*,*,*,*,478,48.98,17,~
2017,Geneva City,Geneva High School,All Grades,All Gender,All Ethnicity,All SubPopulation,336,*,*,53,15.77,*,*,*,*,278,82.74,*,*
2017,Linden City,George P Austin Junior High School,All Grades,All Gender,All Ethnicity,All SubPopulation,115,*,*,*,*,*,*,*,*,*,*,*,*
2017,Guntersville City,Guntersville Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,476,*,*,35,7.35,*,*,*,*,410,86.13,18,~
2017,Roanoke City,Handley Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,550,*,*,241,43.82,*,*,*,*,297,54.00,*,*
2017,Madison City,Heritage Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,890,98,11.01,191,21.46,*,*,*,*,538,60.45,56,6.29
2017,Tuscaloosa County,Holt Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,573,*,*,356,62.13,19,~,*,*,106,18.50,90,15.71
2017,Jacksonville City,Kitty Stone Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,911,15,~,318,34.91,*,*,*,*,576,63.23,*,*
2017,Leeds City,Leeds Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,484,*,*,108,22.31,14,~,*,*,346,71.49,13,~
2017,Jasper City,Maddox Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,608,*,*,102,16.78,37,6.09,*,*,455,74.84,*,*
2017,Midfield City,Midfield Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,422,*,*,382,90.52,*,*,*,*,20,~,11,~
2017,Muscle Shoals City,Muscle Shoals Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,665,15,~,91,13.68,19,~,*,*,520,78.20,20,~
2017,Opelika City,Northside School,All Grades,All Gender,All Ethnicity,All SubPopulation,381,*,*,198,51.97,*,*,*,*,159,41.73,*,*
2017,Oneonta City,Oneonta Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,688,*,*,39,5.67,66,9.59,*,*,542,78.78,36,5.23
2017,Opp City,Opp High School,All Grades,All Gender,All Ethnicity,All SubPopulation,343,*,*,78,22.74,*,*,*,*,262,76.38,*,*
2017,Oxford City,Oxford Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,774,14,~,198,25.58,*,*,*,*,518,66.93,43,5.56
2017,Satsuma City,Robert E. Lee Elementary,All Grades,All Gender,All Ethnicity,All SubPopulation,684,14,~,75,10.96,13,~,*,*,562,82.16,18,~
2017,Russellville City,Russellville Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,567,*,*,28,~,204,35.98,*,*,307,54.14,23,~
2017,Tallassee City,Southside Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,532,*,*,129,24.25,*,*,*,*,398,74.81,*,*
2017,Hoover City,Spain Park High School,All Grades,All Gender,All Ethnicity,All SubPopulation,1644,94,5.72,373,22.69,*,*,*,*,1078,65.57,94,5.72
2017,Tuscaloosa City,The Alberta School of Performing Arts,All Grades,All Gender,All Ethnicity,All SubPopulation,560,*,*,492,87.86,29,5.18,*,*,25,~,11,~
2017,Thomasville City,Thomasville High School,All Grades,All Gender,All Ethnicity,All SubPopulation,397,*,*,177,44.58,*,*,*,*,217,54.66,*,*
2017,Lanett City,W. O. Lance Elementary,All Grades,All Gender,All Ethnicity,All SubPopulation,561,*,*,428,76.29,54,9.63,*,*,59,10.52,17,~
2017,Randolph County,Wedowee Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,307,*,*,65,21.17,*,*,*,*,222,72.31,18,5.86
2017,Winfield City,Winfield Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,501,*,*,25,~,16,~,*,*,448,89.42,11,~
2017,Lee County,Beauregard Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,680,*,*,147,21.62,*,*,*,*,495,72.79,27,~
2017,Houston County,Ashford Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,783,*,*,176,22.48,*,*,*,*,573,73.18,28,~
2017,Baldwin County,Bay Minette Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,431,*,*,139,32.25,*,*,*,*,265,61.48,18,~
2017,Dothan City,Beverlye Magnet School,All Grades,All Gender,All Ethnicity,All SubPopulation,451,16,~,170,37.69,*,*,*,*,257,56.98,*,*
2017,Limestone County,Blue Springs Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,501,*,*,39,7.78,*,*,*,*,443,88.42,11,~
2017,St Clair County,Ashville Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,311,*,*,32,10.29,12,~,*,*,261,83.92,*,*
2017,Daleville City,A M Windham Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,523,*,*,153,29.25,32,6.12,*,*,294,56.21,38,7.27
2017,Bessemer City,Abrams Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,346,*,*,323,93.35,21,6.07,*,*,*,*,*,*
2017,Winston County,Addison Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,302,*,*,*,*,*,*,*,*,*,*,*,*
2017,Anniston City,Anniston Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,357,*,*,316,88.52,*,*,*,*,27,7.56,14,~
2017,Athens City,Athens Intermediate School,All Grades,All Gender,All Ethnicity,All SubPopulation,518,*,*,103,19.88,50,9.65,*,*,317,61.20,39,7.53
2017,Autauga County,Autaugaville School,All Grades,All Gender,All Ethnicity,All SubPopulation,295,*,*,*,*,*,*,*,*,*,*,*,*
2017,Baldwin County,Bay Minette Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,624,*,*,241,38.62,*,*,*,*,347,55.61,29,~
2017,Jackson County,Bridgeport Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,213,*,*,22,10.33,23,10.80,*,*,161,75.59,*,*
2017,Shelby County,Calera Intermediate School,All Grades,All Gender,All Ethnicity,All SubPopulation,724,*,*,236,32.60,29,~,*,*,433,59.81,19,~
2017,Lowndes County,Calhoun High School,All Grades,All Gender,All Ethnicity,All SubPopulation,242,*,*,*,*,*,*,*,*,*,*,*,*
2017,Limestone County,Cedar Hill Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,663,*,*,*,*,17,~,*,*,616,92.91,19,~
2017,Troy City,Charles Henderson Middle,All Grades,All Gender,All Ethnicity,All SubPopulation,264,*,*,165,62.50,*,*,*,*,86,32.58,*,*
2017,Cleburne County,Cleburne County Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,260,*,*,22,8.46,*,*,*,*,230,88.46,*,*
2017,Tallapoosa County,Dadeville Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,647,*,*,271,41.89,*,*,*,*,358,55.33,13,~
2017,Franklin County,East Franklin Junior High School,All Grades,All Gender,All Ethnicity,All SubPopulation,231,*,*,*,*,*,*,*,*,208,90.04,17,7.36
2017,Geneva County,Geneva County Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,407,*,*,60,14.74,*,*,*,*,309,75.92,35,8.60
2017,Sylacauga City,Indian Valley Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,517,*,*,239,46.23,14,~,*,*,248,47.97,11,~
2017,Oneonta City,Oneonta Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,353,*,*,13,~,13,~,*,*,308,87.25,14,~
2017,Vestavia Hills City,West Elementary,All Grades,All Gender,All Ethnicity,All SubPopulation,789,85,10.77,56,7.10,*,*,*,*,623,78.96,22,~
2017,Winfield City,Winfield Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,367,*,*,14,~,*,*,*,*,339,92.37,*,*
2017,Henry County,Abbeville Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,409,*,*,225,55.01,16,~,*,*,137,33.50,30,7.33
2017,Shelby County,Calera Elementary,All Grades,All Gender,All Ethnicity,All SubPopulation,705,*,*,213,30.21,23,~,*,*,431,61.13,33,~
2017,Elmore County,Holtville Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,709,*,*,45,6.35,*,*,*,*,647,91.26,16,~
2017,Shelby County,Calera Middle,All Grades,All Gender,All Ethnicity,All SubPopulation,682,*,*,231,33.87,29,~,*,*,405,59.38,13,~
2017,Elmore County,Holtville Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,552,*,*,38,6.88,*,*,*,*,489,88.59,23,~
2017,Henry County,Abbeville High School,All Grades,All Gender,All Ethnicity,All SubPopulation,367,*,*,233,63.49,*,*,*,*,115,31.34,11,~
2017,Albertville City,Albertville High School,All Grades,All Gender,All Ethnicity,All SubPopulation,1373,*,*,72,5.24,166,12.09,*,*,1078,78.51,45,~
2017,Pickens County,Aliceville High School,All Grades,All Gender,All Ethnicity,All SubPopulation,267,*,*,*,*,*,*,*,*,*,*,*,*
2017,Andalusia City,Andalusia Junior High,All Grades,All Gender,All Ethnicity,All SubPopulation,268,*,*,75,27.99,*,*,*,*,180,67.16,*,*
2017,Blount County,Appalachian  School,All Grades,All Gender,All Ethnicity,All SubPopulation,575,*,*,*,*,*,*,*,*,560,~,*,*
2017,Arab City,Arab High School,All Grades,All Gender,All Ethnicity,All SubPopulation,768,11,~,*,*,*,*,*,*,743,~,*,*
2017,Tuscaloosa City,Arcadia Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,319,*,*,186,58.31,20,6.27,*,*,98,30.72,*,*
2017,Athens City,Athens Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,503,*,*,99,19.68,28,5.57,*,*,330,65.61,39,7.75
2017,Auburn City,Auburn Junior High School,All Grades,All Gender,All Ethnicity,All SubPopulation,1236,140,11.33,287,23.22,20,~,*,*,764,61.81,22,~
2017,Decatur City,Austinville Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,417,*,*,89,21.34,*,*,*,*,303,72.66,*,*
2017,Montgomery County,Baldwin Art And Academics Magnet,All Grades,All Gender,All Ethnicity,All SubPopulation,546,99,18.13,261,47.80,*,*,*,*,158,28.94,23,~
2017,Barbour County,Barbour County High School,All Grades,All Gender,All Ethnicity,All SubPopulation,326,*,*,287,88.04,26,7.98,*,*,11,~,*,*
2017,Talladega County,BB Comer Memorial High School,All Grades,All Gender,All Ethnicity,All SubPopulation,443,*,*,124,27.99,*,*,*,*,313,70.65,*,*
2017,Alexander City,Benjamin Russell High School,All Grades,All Gender,All Ethnicity,All SubPopulation,890,*,*,332,37.30,*,*,*,*,543,61.01,*,*
2017,Fayette County,Berry High School,All Grades,All Gender,All Ethnicity,All SubPopulation,264,*,*,*,*,*,*,*,*,249,94.32,*,*
2017,Lee County,Beulah High School,All Grades,All Gender,All Ethnicity,All SubPopulation,554,*,*,116,20.94,*,*,*,*,412,74.37,19,~
2017,Brewton City,Brewton Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,324,*,*,100,30.86,*,*,*,*,220,67.90,*,*
2017,Marion County,Brilliant High School,All Grades,All Gender,All Ethnicity,All SubPopulation,124,*,*,*,*,*,*,*,*,*,*,*,*
2017,Lauderdale County,Brooks High School,All Grades,All Gender,All Ethnicity,All SubPopulation,761,*,*,27,~,*,*,*,*,720,94.61,*,*
2017,Tuscaloosa County,Brookwood Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,558,*,*,40,7.17,*,*,*,*,491,87.99,24,~
2017,Jackson County,Bryant School,All Grades,All Gender,All Ethnicity,All SubPopulation,159,*,*,*,*,17,10.69,*,*,137,86.16,*,*
2017,Scottsboro City,Caldwell Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,382,*,*,25,6.54,11,~,*,*,335,87.70,*,*
2017,Walker County,Carbon Hill High School,All Grades,All Gender,All Ethnicity,All SubPopulation,393,*,*,11,~,*,*,*,*,379,~,*,*
2017,Opelika City,Carver Primary School,All Grades,All Gender,All Ethnicity,All SubPopulation,400,*,*,243,60.75,78,19.50,*,*,68,17.00,*,*
2017,Cherokee County,Cedar Bluff High School,All Grades,All Gender,All Ethnicity,All SubPopulation,610,*,*,52,8.52,*,*,*,*,542,88.85,*,*
2017,Selma City,Cedar Park Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,175,*,*,*,*,*,*,*,*,*,*,*,*
2017,Lowndes County,Central Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,284,*,*,*,*,*,*,*,*,*,*,*,*
2017,Shelby County,Chelsea High School,All Grades,All Gender,All Ethnicity,All SubPopulation,1200,26,~,119,9.92,14,~,*,*,1026,85.50,14,~
2017,Mountain Brook City,Cherokee Bend Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,460,*,*,*,*,*,*,*,*,*,*,*,*
2017,Guntersville City,Cherokee Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,430,*,*,36,8.37,16,~,*,*,350,81.40,21,~
2017,Chickasaw City,Chickasaw City High School,All Grades,All Gender,All Ethnicity,All SubPopulation,525,*,*,378,72.00,*,*,*,*,144,27.43,*,*
2017,Choctaw County,Choctaw County High School,All Grades,All Gender,All Ethnicity,All SubPopulation,357,*,*,298,83.47,*,*,*,*,57,15.97,*,*
2017,Chilton County,Clanton Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,806,*,*,143,17.74,89,11.04,*,*,539,66.87,31,~
2017,Cleburne County,Cleburne County High School,All Grades,All Gender,All Ethnicity,All SubPopulation,644,*,*,47,7.30,*,*,*,*,590,91.61,*,*
2017,Limestone County,Clements High School,All Grades,All Gender,All Ethnicity,All SubPopulation,567,*,*,37,6.53,32,5.64,*,*,476,83.95,17,~
2017,Dothan City,Cloverdale Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,359,*,*,277,77.16,*,*,*,*,73,20.33,*,*
2017,Houston County,Cottonwood High School,All Grades,All Gender,All Ethnicity,All SubPopulation,745,*,*,90,12.08,*,*,*,*,637,85.50,12,~
2017,Cullman City,Cullman High School,All Grades,All Gender,All Ethnicity,All SubPopulation,886,11,~,*,*,*,*,*,*,847,~,14,~
2017,Tallapoosa County,Dadeville High School,All Grades,All Gender,All Ethnicity,All SubPopulation,565,*,*,249,44.07,*,*,*,*,311,55.04,*,*
2017,Dale County,Dale County High School,All Grades,All Gender,All Ethnicity,All SubPopulation,482,*,*,119,24.69,*,*,*,*,352,73.03,*,*
2017,Dallas County,Dallas County High School,All Grades,All Gender,All Ethnicity,All SubPopulation,520,*,*,313,60.19,*,*,*,*,206,39.62,*,*
2017,Morgan County,Danville-Neel Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,526,*,*,16,~,26,~,*,*,479,91.06,*,*
2017,Macon County,DC Wolfe School,All Grades,All Gender,All Ethnicity,All SubPopulation,120,*,*,*,*,*,*,*,*,*,*,*,*
2017,Tuscumbia City,Deshler Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,365,*,*,85,23.29,*,*,*,*,277,75.89,*,*
2017,Russell County,Dixie Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,194,*,*,35,18.04,*,*,*,*,149,76.80,*,*
2017,Winston County,Double Springs Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,381,*,*,*,*,*,*,*,*,369,~,*,*
