System,School,is CEP,Enrollment ,Free,% Free,Reduced,% Reduced,Free Reduced,% Free Reduced ,,,
,0080 Foley Middle School,0,832,440,52.88%,57,6.85%,497,59.74%,,,
,0083 Foley High School,0,"1,476",652,44.17%,99,6.71%,751,50.88%,,,
,0085 Florence B Mathis Elementary,0,881,495,56.19%,60,6.81%,555,63.00%,,,
,0088 Loxley Elementary School,0,457,214,46.83%,42,9.19%,256,56.02%,,,
,0093 Magnolia School,0,847,461,54.43%,73,8.62%,534,63.05%,,,
,0095 Orange Beach Elementary School,0,558,60,10.75%,19,3.41%,79,14.16%,,,
,0096 Orange Beach Middle/High School,0,541,57,10.54%,*,*,66,12.20%,,,
,0100 Perdido Elementary School,0,542,247,45.57%,60,11.07%,307,56.64%,,,
,0105 Pine Grove Elementary School,0,414,311,75.12%,25,6.04%,336,81.16%,,,
,0115 Robertsdale Elementary School,0,955,452,47.33%,83,8.69%,535,56.02%,,,
,0117 Robertsdale High School,0,"1,355",479,35.35%,105,7.75%,584,43.10%,,,
,0119 Rockwell Elementary School,0,"1,002",101,10.08%,37,3.69%,138,13.77%,,,
,0120 Rosinton School,0,291,119,40.89%,31,10.65%,150,51.55%,,,
,0130 Silverhill School,0,426,199,46.71%,34,7.98%,233,54.69%,,,
,0135 J Larry Newton School,0,750,231,30.80%,79,10.53%,310,41.33%,,,
,0140 Spanish Fort Elementary School,0,657,117,17.81%,27,4.11%,144,21.92%,,,
,0142 Spanish Fort Middle School,0,906,112,12.36%,31,3.42%,143,15.78%,,,
,0145 Spanish Fort High School,0,"1,196",149,12.46%,30,2.51%,179,14.97%,,,
,0150 Stapleton School,0,168,69,41.07%,18,10.71%,87,51.79%,,,
,0160 Summerdale School,0,548,307,56.02%,57,10.40%,364,66.42%,,,
,0170 Swift Elementary School,0,111,72,64.86%,19,17.12%,91,81.98%,,,
,0182 Baldwin County Elementary Virtual School,0,361,130,36.01%,20,5.54%,150,41.55%,,,
,0185 Baldwin County Virtual School,0,310,48,15.48%,14,4.52%,62,20.00%,,,
003 Barbour County,,,700,487,69.571%,*,*,487,69.571%,,,
,0020 Barbour County High School,1,315,207,65.71%,*,*,207,65.71%,,,
,0025 Barbour County Primary School,1,98,73,74.49%,*,*,73,74.49%,,,
,0035 Barbour County Intermediate School,1,287,207,72.13%,*,*,207,72.13%,,,
004 Bibb County,,,"2,953","1,302",44.091%,205,6.942%,"1,507",51.033%,,,
,0010 Bibb County High School,0,494,228,46.15%,29,5.87%,257,52.02%,,,
,0030 Centreville Middle School,0,455,235,51.65%,35,7.69%,270,59.34%,,,
,0040 Brent Elementary School,0,567,285,50.26%,27,4.76%,312,55.03%,,,
,0050 Randolph Elementary School,0,189,94,49.74%,*,*,103,54.50%,,,
,0070 West Blocton Elementary School,0,219,87,39.73%,27,12.33%,114,52.05%,,,
,0075 West Blocton Middle School,0,396,164,41.41%,36,9.09%,200,50.51%,,,
,0080 West Blocton High School,0,387,104,26.87%,15,3.88%,119,30.75%,,,
,0095 Woodstock Elementary School,0,246,105,42.68%,27,10.98%,132,53.66%,,,
005 Blount County,,,"7,502","2,828",37.697%,563,7.505%,"3,391",45.201%,,,
,0020 Appalachian  School,0,557,219,39.32%,36,6.46%,255,45.78%,,,
,0030 Blountsville Elementary School,0,598,320,53.51%,44,7.36%,364,60.87%,,,
,0040 Cleveland High School,0,352,127,36.08%,22,6.25%,149,42.33%,,,
,0041 Cleveland Elementary School,0,491,229,46.64%,42,8.55%,271,55.19%,,,
,0045 Hayden Primary School,0,480,131,27.29%,43,8.96%,174,36.25%,,,
,0050 Hayden High School,0,827,161,19.47%,35,4.23%,196,23.70%,,,
,0055 Hayden Elementary School,0,345,81,23.48%,23,6.67%,104,30.14%,,,
,0057 Hayden Middle School,0,524,131,25.00%,46,8.78%,177,33.78%,,,
,0060 JB Pennington High School,0,513,194,37.82%,46,8.97%,240,46.78%,,,
,0070 Locust Fork High School,0,437,150,34.32%,33,7.55%,183,41.88%,,,
,0071 Locust Fork Elementary,0,465,211,45.38%,40,8.60%,251,53.98%,,,
,0105 Southeastern School,0,835,258,30.90%,46,5.51%,304,36.41%,,,
,0120 Susan Moore High School,0,483,251,51.97%,48,9.94%,299,61.90%,,,
,0121 Susan Moore Elementary School,0,595,365,61.34%,59,9.92%,424,71.26%,,,
006 Bullock County,,,"1,392",914,65.661%,*,*,914,65.661%,,,
,0030 South Highlands Middle School,1,465,307,66.02%,*,*,307,66.02%,,,
,0040 Union Springs Elementary School,1,526,364,69.20%,*,*,364,69.20%,,,
,0050 Bullock County High School,1,401,243,60.60%,*,*,243,60.60%,,,
007 Butler County,,,"2,794","1,901",68.039%,179,6.407%,"2,080",74.445%,,,
,0030 Greenville High School,0,630,419,66.51%,42,6.67%,461,73.17%,,,
,0040 Greenville Middle School,0,624,460,73.72%,43,6.89%,503,80.61%,,,
,0050 Greenville Elementary School,0,282,200,70.92%,12,4.26%,212,75.18%,,,
,0060 McKenzie High School,0,423,200,47.28%,39,9.22%,239,56.50%,,,
,0080 WO Parmer Elementary School,0,457,322,70.46%,17,3.72%,339,74.18%,,,
,0085 Georgiana School ,0,378,300,79.37%,26,6.88%,326,86.24%,,,
008 Calhoun County,,,"7,824","3,424",43.763%,524,6.697%,"3,948",50.46%,,,
,0005 Alexandria Elementary School,0,597,247,41.37%,44,7.37%,291,48.74%,,,
,0010 Alexandria High School,0,544,182,33.46%,39,7.17%,221,40.63%,,,
,0015 Alexandria Middle School,0,487,203,41.68%,33,6.78%,236,48.46%,,,
,0125 Ohatchee Elementary School,0,401,186,46.38%,16,3.99%,202,50.37%,,,
,0130 Ohatchee High School,0,430,155,36.05%,23,5.35%,178,41.40%,,,
,0135 Pleasant Valley High School,0,434,120,27.65%,23,5.30%,143,32.95%,,,
,0140 Pleasant Valley Elementary School,0,472,154,32.63%,19,4.03%,173,36.65%,,,
,0150 Saks Elementary School,0,427,302,70.73%,45,10.54%,347,81.26%,,,
,0160 Saks High School,0,306,152,49.67%,17,5.56%,169,55.23%,,,
,0165 Saks Middle School,0,325,194,59.69%,17,5.23%,211,64.92%,,,
,0175 Weaver Elementary School,0,557,299,53.68%,47,8.44%,346,62.12%,,,
,0180 Weaver High School,0,502,229,45.62%,60,11.95%,289,57.57%,,,
,0200 Wellborn High School,0,512,283,55.27%,28,5.47%,311,60.74%,,,
,0205 Wellborn Elementary School,0,551,340,61.71%,50,9.07%,390,70.78%,,,
,0210 White Plains High School,0,411,96,23.36%,21,5.11%,117,28.47%,,,
,0215 White Plains Elementary School,0,477,167,35.01%,25,5.24%,192,40.25%,,,
,0220 White Plains Middle School,0,391,115,29.41%,17,4.35%,132,33.76%,,,
009 Chambers County,,,"3,200","1,321",41.281%,*,*,"1,321",41.281%,,,
,0030 Fairfax Elementary School,1,408,180,44.12%,*,*,180,44.12%,,,
,0040 Five Points Elementary School,1,95,58,61.05%,*,*,58,61.05%,,,
,0060 Huguley Elementary School,1,346,122,35.26%,*,*,122,35.26%,,,
,0065 Inspire Virtual Academy,0,111,26,23.42%,*,*,26,23.42%,,,
,0070 Lafayette Eastside Elementary School,1,238,138,57.98%,*,*,138,57.98%,,,
,0080 Lafayette High School,1,215,131,60.93%,*,*,131,60.93%,,,
,0090 Lafayette Lanier Elementary School,1,199,78,39.20%,*,*,78,39.20%,,,
,0100 John P Powell Middle School,1,127,87,68.50%,*,*,87,68.50%,,,
,0130 Bob Harding-Shawmut Elementary,1,216,93,43.06%,*,*,93,43.06%,,,
,0140 Valley High School,0,675,188,27.85%,*,*,188,27.85%,,,
,0150 W F Burns Middle School,1,570,220,38.60%,*,*,220,38.60%,,,
010 Cherokee County,,,"3,744","1,728",46.154%,357,9.535%,"2,085",55.689%,,,
,0020 Cedar Bluff High School,0,592,310,52.36%,40,6.76%,350,59.12%,,,
,0030 Centre Elementary School,0,581,310,53.36%,54,9.29%,364,62.65%,,,
,0035 Centre Middle School,0,472,227,48.09%,46,9.75%,273,57.84%,,,
,0050 Cherokee County High School,0,454,178,39.21%,39,8.59%,217,47.80%,,,
,0060 Gaylesville High School,0,369,195,52.85%,42,11.38%,237,64.23%,,,
,0100 Sand Rock High School,0,756,296,39.15%,86,11.38%,382,50.53%,,,
,0110 Spring Garden High School,0,520,212,40.77%,50,9.62%,262,50.38%,,,
011 Chilton County,,,"7,396","3,568",48.242%,679,9.181%,"4,247",57.423%,,,
,0010 Chilton County High School,0,801,357,44.57%,110,13.73%,467,58.30%,,,
,0020 Clanton Elementary School,0,865,473,54.68%,69,7.98%,542,62.66%,,,
,0030 Clanton Intermediate School,0,664,336,50.60%,44,6.63%,380,57.23%,,,
,0050 Clanton Middle School,0,444,214,48.20%,42,9.46%,256,57.66%,,,
,0060 Isabella High School,0,748,320,42.78%,84,11.23%,404,54.01%,,,
,0065 Jemison Elementary School,0,630,350,55.56%,60,9.52%,410,65.08%,,,
,0067 Jemison Intermediate School,0,507,279,55.03%,35,6.90%,314,61.93%,,,
,0068 Jemison Middle School,0,381,197,51.71%,40,10.50%,237,62.20%,,,
,0070 Jemison High School,0,646,301,46.59%,56,8.67%,357,55.26%,,,
,0080 Maplesville High School,0,501,200,39.92%,39,7.78%,239,47.70%,,,
,0100 Thorsby High School,0,680,234,34.41%,63,9.26%,297,43.68%,,,
,0110 Verbena High School,0,529,307,58.03%,37,6.99%,344,65.03%,,,
012 Choctaw County,,,"1,021",650,63.663%,*,*,650,63.663%,,,
,0020 Choctaw County High School,1,247,136,55.06%,*,*,136,55.06%,,,
,0025 Choctaw County Elementary,1,285,200,70.18%,*,*,200,70.18%,,,
,0075 Southern Choctaw Elementary School,1,245,160,65.31%,*,*,160,65.31%,,,
,0080 Southern Choctaw High School,1,244,154,63.11%,*,*,154,63.11%,,,
013 Clarke County,,,"2,188","1,168",53.382%,*,*,"1,168",53.382%,,,
,0010 Clarke County High School,1,271,149,54.98%,*,*,149,54.98%,,,
,0050 Grove Hill Elementary School,1,293,185,63.14%,*,*,185,63.14%,,,
,0060 Jackson Middle School,1,329,165,50.15%,*,*,165,50.15%,,,
,0065 Jackson High School,1,425,174,40.94%,*,*,174,40.94%,,,
,0070 Jackson Intermediate School,1,303,164,54.13%,*,*,164,54.13%,,,
,0080 Joe M Gillmore Elementary School,1,338,189,55.92%,*,*,189,55.92%,,,
,0100 Wilson Hall Middle School,1,229,142,62.01%,*,*,142,62.01%,,,
014 Clay County,,,"1,815",834,45.95%,136,7.493%,970,53.444%,,,
,0010 Ashland Elementary School,0,483,249,51.55%,44,9.11%,293,60.66%,,,
,0060 Lineville Elementary School,0,485,249,51.34%,25,5.15%,274,56.49%,,,
,0084 Central Jr High School of Clay County,0,308,135,43.83%,23,7.47%,158,51.30%,,,
,0085 Central High School of Clay County,0,539,201,37.29%,44,8.16%,245,45.45%,,,
015 Cleburne County,,,"2,407",928,38.554%,227,9.431%,"1,155",47.985%,,,
,0010 Cleburne County Elementary School,0,312,140,44.87%,32,10.26%,172,55.13%,,,
,0015 Cleburne County Middle School,0,260,106,40.77%,35,13.46%,141,54.23%,,,
,0020 Cleburne County High School,0,596,210,35.23%,47,7.89%,257,43.12%,,,
,0030 Fruithurst Elementary School,0,189,100,52.91%,28,14.81%,128,67.72%,,,
,0040 Pleasant Grove Elementary School,0,197,105,53.30%,14,7.11%,119,60.41%,,,
,0045 Ranburne Elementary School,0,331,113,34.14%,34,10.27%,147,44.41%,,,
,0050 Ranburne High School,0,522,154,29.50%,37,7.09%,191,36.59%,,,
016 Coffee County,,,"2,686","1,271",47.319%,217,8.079%,"1,488",55.398%,,,
,0020 Kinston School,0,518,191,36.87%,53,10.23%,244,47.10%,,,
,0035 New Brockton Elementary School,0,769,400,52.02%,49,6.37%,449,58.39%,,,
,0040 New Brockton High School,0,601,289,48.09%,47,7.82%,336,55.91%,,,
,0060 Zion Chapel High School,0,798,391,49.00%,68,8.52%,459,57.52%,,,
017 Colbert County,,,"2,500","1,104",44.16%,133,5.32%,"1,237",49.48%,,,
,0040 Cherokee Elementary School,0,243,105,43.21%,12,4.94%,117,48.15%,,,
,0060 Cherokee High School,0,226,92,40.71%,19,8.41%,111,49.12%,,,
,0070 Colbert County High School,0,445,178,40.00%,12,2.70%,190,42.70%,,,
,0075 Colbert Heights Elementary School,0,444,208,46.85%,35,7.88%,243,54.73%,,,
,0080 Colbert Heights High School,0,472,164,34.75%,27,5.72%,191,40.47%,,,
,0090 Hatton Elementary School,0,216,159,73.61%,11,5.09%,170,78.70%,,,
,0110 Leighton Elementary School,0,308,158,51.30%,14,4.55%,172,55.84%,,,
,0140 New Bethel Elementary School,0,146,40,27.40%,*,*,43,29.45%,,,
018 Conecuh County,,,"1,433",769,53.664%,*,*,769,53.664%,,,
,0010 Conecuh County Junior High School,1,82,50,60.98%,*,*,50,60.98%,,,
,0020 Evergreen Elementary School,1,310,204,65.81%,*,*,204,65.81%,,,
,0035 Hillcrest High School,1,284,133,46.83%,*,*,133,46.83%,,,
,0040 Lyeffion Junior High School,1,88,55,62.50%,*,*,55,62.50%,,,
,0050 Thurgood Marshall Middle School,1,161,94,58.39%,*,*,94,58.39%,,,
,0070 Repton Junior High School,1,100,60,60.00%,*,*,60,60.00%,,,
,0090 Genesis Innovative School,0,408,173,42.40%,*,*,173,42.40%,,,
019 Coosa County,,,786,416,52.926%,*,*,416,52.926%,,,
,0003 Central Elementary School,1,413,232,56.17%,*,*,232,56.17%,,,
,0005 Central High School,1,373,184,49.33%,*,*,184,49.33%,,,
020 Covington County,,,"2,823","1,349",47.786%,228,8.077%,"1,577",55.863%,,,
,0030 Fleeta School,0,168,118,70.24%,18,10.71%,136,80.95%,,,
,0040 Florala High School,0,222,114,51.35%,14,6.31%,128,57.66%,,,
,0050 Pleasant Home School,0,475,188,39.58%,21,4.42%,209,44.00%,,,
,0065 Red Level School,0,483,282,58.39%,39,8.07%,321,66.46%,,,
,0070 Straughn Elementary School,0,532,229,43.05%,49,9.21%,278,52.26%,,,
,0075 Straughn Middle School,0,294,120,40.82%,35,11.90%,155,52.72%,,,
,0080 Straughn High School,0,373,130,34.85%,33,8.85%,163,43.70%,,,
,0090 WS Harlan Elementary School,0,276,168,60.87%,19,6.88%,187,67.75%,,,
021 Crenshaw County,,,"2,165",992,45.82%,*,*,992,45.82%,,,
,0010 Brantley High School,1,543,238,43.83%,*,*,238,43.83%,,,
,0030 Highland Home School,1,817,360,44.06%,*,*,360,44.06%,,,
,0050 Luverne High School,1,805,394,48.94%,*,*,394,48.94%,,,
022 Cullman County,,,"9,443","3,301",34.957%,747,7.911%,"4,048",42.868%,,,
,0020 Parkside Elementary School,0,343,182,53.06%,24,7.00%,206,60.06%,,,
,0030 Cold Springs High School,0,241,40,16.60%,*,*,49,20.33%,,,
,0031 Cold Springs Elementary School,0,483,140,28.99%,38,7.87%,178,36.85%,,,
,0035 Cullman Child Development Center,0,173,85,49.13%,23,13.29%,108,62.43%,,,
,0060 Fairview High School,0,535,146,27.29%,27,5.05%,173,32.34%,,,
,0061 Fairview Elementary School,0,573,246,42.93%,60,10.47%,306,53.40%,,,
,0062 Fairview Middle School,0,296,116,39.19%,27,9.12%,143,48.31%,,,
,0080 Good Hope High School,0,448,127,28.35%,26,5.80%,153,34.15%,,,
,0081 Good Hope Elementary School,0,348,123,35.34%,32,9.20%,155,44.54%,,,
,0082 Good Hope Middle School,0,338,109,32.25%,31,9.17%,140,41.42%,,,
,0085 Good Hope Primary School,0,393,158,40.20%,34,8.65%,192,48.85%,,,
,0086 Harmony School,0,255,96,37.65%,30,11.76%,126,49.41%,,,
,0090 Hanceville High School,0,378,112,29.63%,16,4.23%,128,33.86%,,,
,0091 Hanceville Elementary School,0,597,279,46.73%,68,11.39%,347,58.12%,,,
,0092 Hanceville Middle School,0,293,106,36.18%,25,8.53%,131,44.71%,,,
,0100 Holly Pond High School,0,291,74,25.43%,17,5.84%,91,31.27%,,,
,0101 Holly Pond Elementary School,0,545,209,38.35%,40,7.34%,249,45.69%,,,
,0140 Vinemont High School,0,332,80,24.10%,14,4.22%,94,28.31%,,,
,0141 Vinemont Elementary School,0,430,154,35.81%,15,3.49%,169,39.30%,,,
,0142 Vinemont Middle School,0,262,70,26.72%,*,*,80,30.53%,,,
,0150 Welti Elementary School,0,147,59,40.14%,21,14.29%,80,54.42%,,,
,0160 West Point High School,0,547,136,24.86%,34,6.22%,170,31.08%,,,
,0161 West Point Elementary School,0,514,189,36.77%,66,12.84%,255,49.61%,,,
,0162 West Point Middle School,0,427,164,38.41%,38,8.90%,202,47.31%,,,
,0163 West Point Intermediate School,0,254,101,39.76%,22,8.66%,123,48.43%,,,
023 Dale County,,,"3,166","1,526",48.20%,269,8.497%,"1,795",56.696%,,,
,0010 Ariton School,0,810,322,39.75%,85,10.49%,407,50.25%,,,
,0020 Dale County High School,0,419,203,48.45%,41,9.79%,244,58.23%,,,
,0030 GW Long Elementary School,0,441,177,40.14%,42,9.52%,219,49.66%,,,
,0040 George W Long High School,0,392,109,27.81%,15,3.83%,124,31.63%,,,
,0050 Midland City Elementary School,0,426,291,68.31%,32,7.51%,323,75.82%,,,
,0060 Newton Elementary School,0,277,173,62.45%,16,5.78%,189,68.23%,,,
,0080 South Dale Middle School,0,401,251,62.59%,38,9.48%,289,72.07%,,,
024 Dallas County,,,"2,546","1,713",67.282%,*,*,"1,713",67.282%,,,
,0010 Brantley Elementary School,1,221,169,76.47%,*,*,169,76.47%,,,
,0020 Dallas County High School,1,381,195,51.18%,*,*,195,51.18%,,,
,0070 JE Terry Elementary School,1,95,53,55.79%,*,*,53,55.79%,,,
,0080 Keith Middle-High School,1,224,172,76.79%,*,*,172,76.79%,,,
,0100 Salem Elementary School,1,146,116,79.45%,*,*,116,79.45%,,,
,0120 Southside High School,1,313,236,75.40%,*,*,236,75.40%,,,
,0130 Tipton Durant Middle School,1,214,164,76.64%,*,*,164,76.64%,,,
,0150 Valley Grande Elementary School,1,335,173,51.64%,*,*,173,51.64%,,,
,0170 William R Martin Middle School,1,237,142,59.92%,*,*,142,59.92%,,,
,0215 Southside Primary School,1,173,139,80.35%,*,*,139,80.35%,,,
,0220 Bruce K Craig Elementary School,1,207,154,74.40%,*,*,154,74.40%,,,
025 DeKalb County,,,"8,384","4,571",54.521%,393,4.688%,"4,964",59.208%,,,
,0030 Collinsville High School,1,896,427,47.66%,*,*,427,47.66%,,,
,0040 Crossville Elementary School,1,573,338,58.99%,*,*,338,58.99%,,,
,0042 Crossville Middle School,1,787,458,58.20%,*,*,458,58.20%,,,
,0045 Crossville High School,1,605,303,50.08%,*,*,303,50.08%,,,
,0065 Fyffe High School,0,919,464,50.49%,79,8.60%,543,59.09%,,,
,0070 Geraldine School,0,"1,116",636,56.99%,79,7.08%,715,64.07%,,,
,0090 Henagar Junior High School,0,229,130,56.77%,21,9.17%,151,65.94%,,,
,0100 Ider School,0,604,291,48.18%,55,9.11%,346,57.28%,,,
,0130 Plainview School,0,"1,191",705,59.19%,72,6.05%,777,65.24%,,,
,0140 Ruhuma Junior High School,1,150,71,47.33%,*,*,71,47.33%,,,
,0150 Sylvania School,0,843,442,52.43%,63,7.47%,505,59.91%,,,
,0170 Valley Head High School,0,471,306,64.97%,24,5.10%,330,70.06%,,,
026 Elmore County,,,"11,491","4,294",37.368%,589,5.126%,"4,883",42.494%,,,
,0005 Eclectic Elementary School,0,565,201,35.58%,35,6.19%,236,41.77%,,,
,0008 Eclectic Middle School,0,466,150,32.19%,50,10.73%,200,42.92%,,,
,0010 Elmore County High School,0,507,121,23.87%,23,4.54%,144,28.40%,,,
,0018 Holtville Elementary School,0,700,260,37.14%,53,7.57%,313,44.71%,,,
,0019 Holtville Middle School,0,550,195,35.45%,33,6.00%,228,41.45%,,,
,0020 Holtville High School,0,518,148,28.57%,25,4.83%,173,33.40%,,,
,0023 Millbrook Middle School,0,"1,236",528,42.72%,72,5.83%,600,48.54%,,,
,0035 Coosada Elementary School,0,865,441,50.98%,55,6.36%,496,57.34%,,,
,0042 Airport Road Intermediate School,0,555,278,50.09%,29,5.23%,307,55.32%,,,
,0050 Stanhope Elmore High School,0,"1,086",375,34.53%,36,3.31%,411,37.85%,,,
,0062 Redland Elementary School,0,927,192,20.71%,18,1.94%,210,22.65%,,,
,0065 Wetumpka Elementary School,0,794,381,47.98%,50,6.30%,431,54.28%,,,
,0070 Wetumpka High School,0,"1,154",337,29.20%,49,4.25%,386,33.45%,,,
,0075 Wetumpka Middle School,0,"1,016",407,40.06%,44,4.33%,451,44.39%,,,
,0095 EDGE Virtual School,0,552,280,50.72%,17,3.08%,297,53.80%,,,
027 Escambia County,,,"4,046","2,014",49.778%,*,*,"2,014",49.778%,,,
,0025 Escambia County High School,1,362,226,62.43%,*,*,226,62.43%,,,
,0040 Escambia County Middle School,1,523,359,68.64%,*,*,359,68.64%,,,
,0048 Flomaton Elementary School,1,470,174,37.02%,*,*,174,37.02%,,,
,0050 Flomaton High School,1,502,141,28.09%,*,*,141,28.09%,,,
,0070 Huxford Elementary School,1,256,115,44.92%,*,*,115,44.92%,,,
,0080 Pollard-McCall Junior High School,1,190,70,36.84%,*,*,70,36.84%,,,
,0103 Rachel Patterson Elementary School,1,457,319,69.80%,*,*,319,69.80%,,,
,0105 W S Neal Elementary School,1,500,255,51.00%,*,*,255,51.00%,,,
,0108 W S Neal Middle School,1,407,206,50.61%,*,*,206,50.61%,,,
,0110 W S Neal High School,1,379,149,39.31%,*,*,149,39.31%,,,
028 Etowah County,,,"8,358","2,775",33.202%,633,7.574%,"3,408",40.775%,,,
,0010 Carlisle Elementary School,0,322,165,51.24%,28,8.70%,193,59.94%,,,
,0020 Duck Springs Elementary School,0,181,97,53.59%,11,6.08%,108,59.67%,,,
,0025 Etowah County Special Education Learning Center,0,*,*,*,*,*,*,*,,,
,0040 Gaston High School,0,342,141,41.23%,29,8.48%,170,49.71%,,,
,0045 Gaston Elementary School,0,242,119,49.17%,22,9.09%,141,58.26%,,,
,0050 Glencoe Elementary School,0,361,122,33.80%,42,11.63%,164,45.43%,,,
,0060 Glencoe High School,0,325,66,20.31%,34,10.46%,100,30.77%,,,
,0065 Glencoe Middle School,0,307,78,25.41%,36,11.73%,114,37.13%,,,
,0070 Hokes Bluff Middle School,0,317,94,29.65%,25,7.89%,119,37.54%,,,
,0075 Hokes Bluff High School,0,372,84,22.58%,31,8.33%,115,30.91%,,,
,0080 Hokes Bluff Elementary School,0,569,198,34.80%,47,8.26%,245,43.06%,,,
,0090 Ivalee Elementary School,0,218,122,55.96%,25,11.47%,147,67.43%,,,
,0100 John S Jones Elementary School,0,718,272,37.88%,37,5.15%,309,43.04%,,,
,0110 Highland Elementary School,0,186,104,55.91%,13,6.99%,117,62.90%,,,
,0115 Rainbow Middle School,0,623,149,23.92%,41,6.58%,190,30.50%,,,
,0120 Sardis High School,0,553,163,29.48%,37,6.69%,200,36.17%,,,
,0125 Sardis Middle School,0,390,127,32.56%,22,5.64%,149,38.21%,,,
,0130 Southside High School,0,784,131,16.71%,41,5.23%,172,21.94%,,,
,0135 Southside Elementary School,0,514,104,20.23%,19,3.70%,123,23.93%,,,
,0140 West End Elementary School,0,354,181,51.13%,24,6.78%,205,57.91%,,,
,0150 West End High School,0,383,177,46.21%,30,7.83%,207,54.05%,,,
,0160 Whitesboro Elementary School,0,297,81,27.27%,39,13.13%,120,40.40%,,,
029 Fayette County,,,"2,103","1,004",47.741%,207,9.843%,"1,211",57.584%,,,
,0010 Berry Elementary School,0,301,133,44.19%,46,15.28%,179,59.47%,,,
,0020 Berry High School,0,238,122,51.26%,22,9.24%,144,60.50%,,,
,0025 Fayette County High School,0,366,147,40.16%,26,7.10%,173,47.27%,,,
,0030 Fayette Middle School,0,382,192,50.26%,45,11.78%,237,62.04%,,,
,0040 Hubbertville School,0,397,177,44.58%,39,9.82%,216,54.41%,,,
,0050 Fayette Elementary School,0,419,233,55.61%,29,6.92%,262,62.53%,,,
030 Franklin County,,,"3,501","1,372",39.189%,198,5.656%,"1,570",44.844%,,,
,0010 Belgreen High School,0,527,223,42.31%,24,4.55%,247,46.87%,,,
,0015 East Franklin Junior High School,0,212,77,36.32%,*,*,87,41.04%,,,
,0030 Phil Campbell High School,0,456,173,37.94%,24,5.26%,197,43.20%,,,
,0035 Phil Campbell Elementary School,0,401,183,45.64%,11,2.74%,194,48.38%,,,
,0040 Red Bay High School,0,338,106,31.36%,20,5.92%,126,37.28%,,,
,0045 Red Bay Elementary,0,414,117,28.26%,27,6.52%,144,34.78%,,,
,0060 Tharptown Elementary School,0,494,227,45.95%,26,5.26%,253,51.21%,,,
,0065 Tharptown High School,0,403,168,41.69%,29,7.20%,197,48.88%,,,
,0090 Vina High School,0,256,98,38.28%,27,10.55%,125,48.83%,,,
031 Geneva County,,,"2,649","1,381",52.133%,193,7.286%,"1,574",59.419%,,,
